Kode,Nama,Kategori,Stok,Harga,Kadaluarsa,Deskripsi
OBT249,Cefiin 500mg,Vitamin,463,98248,2025-05-05,Obat vitamin untuk penggunaan medis
OBT250,Losox 20mg,Analgesik,306,72065,2025-12-11,Obat analgesik untuk penggunaan medis
OBT251,Metox 5mg,Mineral,381,5837,2026-11-22,Obat mineral untuk penggunaan medis
OBT252,Losox 100mg,Psikotropika,409,26107,2026-10-18,Obat psikotropika untuk penggunaan medis
OBT253,Ranitan 250mg,Psikotropika,69,39098,2025-01-06,Obat psikotropika untuk penggunaan medis
OBT254,Paraum 500mg,Analgesik,307,68024,2025-12-03,Obat analgesik untuk penggunaan medis
OBT255,Captum 100mg,Analgesik,154,96159,2026-07-04,Obat analgesik untuk penggunaan medis
OBT256,Atorum 10mg,Vitamin,407,15486,2026-01-28,Obat vitamin untuk penggunaan medis
OBT257,Amloox 20mg,Antibiotik,127,12193,2026-02-18,Obat antibiotik untuk penggunaan medis
OBT258,Metol 50mg,Kortikosteroid,263,61952,2025-11-25,Obat kortikosteroid untuk penggunaan medis
OBT259,Metox 20mg,Antihistamin,375,26698,2026-03-18,Obat antihistamin untuk penggunaan medis
OBT260,Paraax 10mg,Mineral,160,59210,2025-02-26,Obat mineral untuk penggunaan medis
OBT261,Amoxat 25mg,Antasida,70,19869,2026-01-13,Obat antasida untuk penggunaan medis
OBT262,Amoxol 100mg,Kortikosteroid,432,94177,2026-02-07,Obat kortikosteroid untuk penggunaan medis
OBT263,Paraex 1000mg,Analgesik,391,52150,2026-04-04,Obat analgesik untuk penggunaan medis
OBT264,Dexain 1000mg,Antidiabetes,60,54260,2025-07-05,Obat antidiabetes untuk penggunaan medis
OBT265,Losum 25mg,Antidiabetes,303,22012,2026-10-27,Obat antidiabetes untuk penggunaan medis
OBT266,Losin 20mg,Antibiotik,234,18985,2026-08-04,Obat antibiotik untuk penggunaan medis
OBT267,Captan 10mg,Psikotropika,91,99522,2025-07-09,Obat psikotropika untuk penggunaan medis
OBT268,Cefiax 1000mg,Antihistamin,229,99907,2026-06-30,Obat antihistamin untuk penggunaan medis
OBT269,Paraen 25mg,Antibiotik,445,48085,2025-08-26,Obat antibiotik untuk penggunaan medis
OBT270,Siman 10mg,Mineral,183,89905,2026-04-07,Obat mineral untuk penggunaan medis
OBT271,Cefiil 20mg,Kortikosteroid,479,46835,2026-04-06,Obat kortikosteroid untuk penggunaan medis
OBT272,Raniten 100mg,Antidiabetes,151,86148,2025-02-02,Obat antidiabetes untuk penggunaan medis
OBT273,Dicloin 100mg,Kardiovaskular,151,73745,2025-01-26,Obat kardiovaskular untuk penggunaan medis
OBT274,Losin 250mg,Kortikosteroid,450,67910,2025-01-19,Obat kortikosteroid untuk penggunaan medis
OBT275,Simum 20mg,Antihistamin,243,93379,2026-04-25,Obat antihistamin untuk penggunaan medis
OBT276,Omepum 500mg,Kortikosteroid,409,22067,2026-12-28,Obat kortikosteroid untuk penggunaan medis
OBT277,Cefiex 10mg,Antidepresan,228,92482,2026-12-20,Obat antidepresan untuk penggunaan medis
OBT278,Dicloox 25mg,Kortikosteroid,102,66422,2026-05-07,Obat kortikosteroid untuk penggunaan medis
OBT279,Captum 5mg,Antidepresan,286,69886,2025-05-01,Obat antidepresan untuk penggunaan medis
OBT280,Omepan 25mg,Antibiotik,135,26135,2025-11-08,Obat antibiotik untuk penggunaan medis
OBT281,Ranitan 10mg,Psikotropika,205,84196,2025-02-25,Obat psikotropika untuk penggunaan medis
OBT282,Ranitol 20mg,Mineral,133,81242,2025-01-21,Obat mineral untuk penggunaan medis
OBT283,Atorax 50mg,Antasida,366,20214,2025-01-06,Obat antasida untuk penggunaan medis
OBT284,Ibuax 100mg,Antihistamin,243,90604,2025-06-14,Obat antihistamin untuk penggunaan medis
OBT285,Cefiin 5mg,Antasida,131,36586,2026-10-24,Obat antasida untuk penggunaan medis
OBT286,Ibuat 100mg,Kortikosteroid,499,96673,2026-04-18,Obat kortikosteroid untuk penggunaan medis
OBT287,Captan 20mg,Psikotropika,145,93128,2026-06-28,Obat psikotropika untuk penggunaan medis
OBT288,Parain 10mg,Vitamin,196,65470,2025-10-08,Obat vitamin untuk penggunaan medis
OBT289,Ranitin 250mg,Vitamin,227,43510,2026-07-14,Obat vitamin untuk penggunaan medis
OBT290,Paraan 1000mg,Vitamin,202,10251,2025-03-11,Obat vitamin untuk penggunaan medis
OBT291,Dexaat 5mg,Kardiovaskular,51,63059,2026-05-20,Obat kardiovaskular untuk penggunaan medis
OBT292,Captax 5mg,Antibiotik,339,18029,2026-05-29,Obat antibiotik untuk penggunaan medis
OBT293,Parail 25mg,Antidiabetes,440,92582,2026-10-03,Obat antidiabetes untuk penggunaan medis
OBT294,Captox 250mg,Antikonvulsan,123,19511,2026-06-01,Obat antikonvulsan untuk penggunaan medis
OBT295,Omepan 1000mg,Kortikosteroid,340,99487,2025-10-24,Obat kortikosteroid untuk penggunaan medis
OBT296,Omepil 50mg,Antibiotik,79,68285,2025-04-07,Obat antibiotik untuk penggunaan medis
OBT297,Dicloex 10mg,Kortikosteroid,307,87178,2026-07-30,Obat kortikosteroid untuk penggunaan medis
OBT298,Dexaen 20mg,Antasida,437,66587,2025-12-29,Obat antasida untuk penggunaan medis
OBT299,Losen 50mg,Antihistamin,274,88397,2026-07-02,Obat antihistamin untuk penggunaan medis
OBT300,Ranitin 20mg,Kardiovaskular,243,75574,2026-07-09,Obat kardiovaskular untuk penggunaan medis
OBT301,Paraan 500mg,Antasida,440,37872,2025-10-02,Obat antasida untuk penggunaan medis
OBT302,Simum 250mg,Psikotropika,306,66372,2026-05-06,Obat psikotropika untuk penggunaan medis
OBT303,Metan 50mg,Antihistamin,193,49706,2026-12-30,Obat antihistamin untuk penggunaan medis
OBT304,Ibuen 25mg,Psikotropika,342,99385,2026-04-03,Obat psikotropika untuk penggunaan medis
OBT305,Captil 50mg,Psikotropika,403,50088,2026-03-24,Obat psikotropika untuk penggunaan medis
OBT306,Amloen 1000mg,Antikonvulsan,151,69743,2025-04-01,Obat antikonvulsan untuk penggunaan medis
OBT307,Metax 250mg,Analgesik,436,77106,2025-01-26,Obat analgesik untuk penggunaan medis
OBT308,Omepil 25mg,Antidiabetes,226,83439,2026-03-17,Obat antidiabetes untuk penggunaan medis
OBT309,Amoxol 5mg,Psikotropika,61,41965,2026-12-09,Obat psikotropika untuk penggunaan medis
OBT310,Losum 5mg,Antidepresan,176,95317,2026-12-19,Obat antidepresan untuk penggunaan medis
OBT311,Atorum 20mg,Analgesik,416,65467,2026-01-20,Obat analgesik untuk penggunaan medis
OBT312,Amoxex 1000mg,Kardiovaskular,173,82634,2026-06-03,Obat kardiovaskular untuk penggunaan medis
OBT313,Ibuin 1000mg,Kardiovaskular,108,67200,2025-01-27,Obat kardiovaskular untuk penggunaan medis
OBT314,Ibuin 5mg,Antibiotik,366,93839,2026-04-28,Obat antibiotik untuk penggunaan medis
OBT315,Captax 250mg,Antidiabetes,194,90416,2025-04-01,Obat antidiabetes untuk penggunaan medis
OBT316,Dicloex 50mg,Antasida,398,81165,2026-02-22,Obat antasida untuk penggunaan medis
OBT317,Omepol 50mg,Kortikosteroid,336,22639,2026-11-22,Obat kortikosteroid untuk penggunaan medis
OBT318,Amloin 50mg,Antidiabetes,226,16433,2026-10-04,Obat antidiabetes untuk penggunaan medis
OBT319,Cefiex 25mg,Antasida,306,66992,2026-09-21,Obat antasida untuk penggunaan medis
OBT320,Simat 250mg,Mineral,339,63312,2026-10-09,Obat mineral untuk penggunaan medis
OBT321,Amloox 50mg,Antasida,448,65246,2025-05-30,Obat antasida untuk penggunaan medis
OBT322,Captum 20mg,Analgesik,139,10110,2026-11-17,Obat analgesik untuk penggunaan medis
OBT323,Dicloex 250mg,Analgesik,448,50538,2025-05-11,Obat analgesik untuk penggunaan medis
OBT324,Simil 10mg,Antibiotik,144,27383,2026-06-13,Obat antibiotik untuk penggunaan medis
OBT325,Amloil 20mg,Vitamin,112,28324,2026-11-08,Obat vitamin untuk penggunaan medis
OBT326,Metex 100mg,Mineral,136,49277,2026-07-11,Obat mineral untuk penggunaan medis
OBT327,Amoxax 500mg,Antidepresan,270,31149,2026-07-23,Obat antidepresan untuk penggunaan medis
OBT328,Losol 25mg,Psikotropika,493,35448,2026-08-25,Obat psikotropika untuk penggunaan medis
OBT329,Dicloat 10mg,Antidiabetes,128,75162,2026-07-13,Obat antidiabetes untuk penggunaan medis
OBT330,Ranitox 20mg,Antibiotik,82,98900,2025-10-30,Obat antibiotik untuk penggunaan medis
OBT331,Amloum 100mg,Analgesik,199,9628,2025-04-01,Obat analgesik untuk penggunaan medis
OBT332,Ranitum 1000mg,Psikotropika,391,45261,2025-04-10,Obat psikotropika untuk penggunaan medis
OBT333,Amloen 25mg,Antihistamin,152,88508,2026-06-11,Obat antihistamin untuk penggunaan medis
OBT334,Ibuol 1000mg,Mineral,62,33234,2026-06-05,Obat mineral untuk penggunaan medis
OBT335,Simen 100mg,Kortikosteroid,421,99115,2025-03-01,Obat kortikosteroid untuk penggunaan medis
OBT336,Atorat 5mg,Vitamin,369,77782,2025-04-13,Obat vitamin untuk penggunaan medis
OBT337,Ranitin 10mg,Antibiotik,204,36741,2025-04-25,Obat antibiotik untuk penggunaan medis
OBT338,Dicloat 250mg,Psikotropika,444,45212,2026-01-19,Obat psikotropika untuk penggunaan medis
OBT339,Amloil 50mg,Antikonvulsan,110,69517,2025-06-29,Obat antikonvulsan untuk penggunaan medis
OBT340,Cefian 250mg,Antasida,77,21097,2025-02-01,Obat antasida untuk penggunaan medis
OBT341,Omepin 10mg,Analgesik,158,61694,2025-04-26,Obat analgesik untuk penggunaan medis
OBT342,Paraol 100mg,Antidepresan,288,45984,2026-05-31,Obat antidepresan untuk penggunaan medis
OBT343,Metat 250mg,Antikonvulsan,343,31300,2025-10-13,Obat antikonvulsan untuk penggunaan medis
OBT344,Amoxox 20mg,Kardiovaskular,275,65367,2025-07-02,Obat kardiovaskular untuk penggunaan medis
OBT345,Amloax 500mg,Analgesik,53,74274,2025-03-29,Obat analgesik untuk penggunaan medis
OBT346,Ibuex 25mg,Antibiotik,59,98444,2026-01-20,Obat antibiotik untuk penggunaan medis
OBT347,Amloax 1000mg,Antidepresan,158,35242,2025-09-25,Obat antidepresan untuk penggunaan medis
OBT348,Dexaex 5mg,Kortikosteroid,62,96888,2025-08-16,Obat kortikosteroid untuk penggunaan medis
OBT349,Captin 100mg,Antidiabetes,215,63167,2026-02-01,Obat antidiabetes untuk penggunaan medis
OBT350,Amoxat 1000mg,Antidiabetes,361,88982,2025-01-04,Obat antidiabetes untuk penggunaan medis
OBT351,Dicloat 1000mg,Kardiovaskular,238,60932,2026-03-16,Obat kardiovaskular untuk penggunaan medis
OBT352,Losol 250mg,Antibiotik,50,33317,2026-05-04,Obat antibiotik untuk penggunaan medis
OBT353,Captat 5mg,Vitamin,255,42143,2026-09-15,Obat vitamin untuk penggunaan medis
OBT354,Dicloin 20mg,Vitamin,171,52456,2026-10-27,Obat vitamin untuk penggunaan medis
OBT355,Parail 250mg,Kardiovaskular,397,57554,2025-04-28,Obat kardiovaskular untuk penggunaan medis
OBT356,Captum 5mg,Antidepresan,470,77176,2025-09-08,Obat antidepresan untuk penggunaan medis
OBT357,Amloin 1000mg,Antibiotik,119,62884,2026-08-22,Obat antibiotik untuk penggunaan medis
OBT358,Simex 25mg,Antidepresan,481,72362,2026-04-11,Obat antidepresan untuk penggunaan medis
OBT359,Atorex 50mg,Antihistamin,123,84662,2026-08-14,Obat antihistamin untuk penggunaan medis
OBT360,Atoran 250mg,Antihistamin,65,65198,2026-11-27,Obat antihistamin untuk penggunaan medis
OBT361,Omepum 25mg,Psikotropika,189,27227,2025-07-26,Obat psikotropika untuk penggunaan medis
OBT362,Atoren 1000mg,Antidiabetes,478,57900,2025-05-16,Obat antidiabetes untuk penggunaan medis
OBT363,Dexaen 1000mg,Mineral,179,78066,2026-08-20,Obat mineral untuk penggunaan medis
OBT364,Cefiax 250mg,Kortikosteroid,233,35753,2025-03-24,Obat kortikosteroid untuk penggunaan medis
OBT365,Omepil 250mg,Kortikosteroid,86,79113,2025-03-04,Obat kortikosteroid untuk penggunaan medis
OBT366,Metol 1000mg,Antidiabetes,481,8580,2025-01-28,Obat antidiabetes untuk penggunaan medis
OBT367,Amloex 25mg,Antasida,454,68755,2026-03-21,Obat antasida untuk penggunaan medis
OBT368,Simen 20mg,Antasida,338,35459,2026-07-30,Obat antasida untuk penggunaan medis
OBT369,Meten 5mg,Antibiotik,424,26445,2025-12-25,Obat antibiotik untuk penggunaan medis
OBT370,Omepox 100mg,Antihistamin,314,26134,2026-06-29,Obat antihistamin untuk penggunaan medis
OBT371,Amloox 10mg,Mineral,50,50428,2025-04-12,Obat mineral untuk penggunaan medis
OBT372,Losil 100mg,Antasida,110,74427,2026-10-27,Obat antasida untuk penggunaan medis
OBT373,Ranitil 100mg,Antasida,232,53385,2025-01-20,Obat antasida untuk penggunaan medis
OBT374,Simin 10mg,Antihistamin,500,61189,2026-02-05,Obat antihistamin untuk penggunaan medis
OBT375,Cefiil 500mg,Antibiotik,137,67743,2026-01-27,Obat antibiotik untuk penggunaan medis
OBT376,Paraat 50mg,Analgesik,342,69023,2026-12-31,Obat analgesik untuk penggunaan medis
OBT377,Amoxil 20mg,Kardiovaskular,166,80590,2026-08-14,Obat kardiovaskular untuk penggunaan medis
OBT378,Losan 500mg,Psikotropika,105,74617,2026-03-23,Obat psikotropika untuk penggunaan medis
OBT379,Dicloax 5mg,Antasida,111,68671,2026-09-18,Obat antasida untuk penggunaan medis
OBT380,Dicloax 20mg,Antihistamin,365,71569,2025-04-11,Obat antihistamin untuk penggunaan medis
OBT381,Losax 5mg,Antidiabetes,67,15601,2025-01-17,Obat antidiabetes untuk penggunaan medis
OBT382,Dexaox 1000mg,Kardiovaskular,385,67449,2026-12-11,Obat kardiovaskular untuk penggunaan medis
OBT383,Ranitax 5mg,Antidepresan,355,34972,2025-04-07,Obat antidepresan untuk penggunaan medis
OBT384,Amoxol 1000mg,Antasida,219,29456,2026-05-13,Obat antasida untuk penggunaan medis
OBT385,Ranitin 250mg,Vitamin,302,19226,2026-08-28,Obat vitamin untuk penggunaan medis
OBT386,Paraan 10mg,Antibiotik,288,29259,2025-11-24,Obat antibiotik untuk penggunaan medis
OBT387,Cefian 20mg,Psikotropika,202,81360,2025-03-03,Obat psikotropika untuk penggunaan medis
OBT388,Amloox 1000mg,Antidepresan,453,25826,2026-08-01,Obat antidepresan untuk penggunaan medis
OBT389,Dexaax 1000mg,Antidiabetes,320,34196,2025-01-13,Obat antidiabetes untuk penggunaan medis
OBT390,Ibuan 25mg,Vitamin,149,91387,2025-02-16,Obat vitamin untuk penggunaan medis
OBT391,Atorin 1000mg,Mineral,192,52009,2025-03-16,Obat mineral untuk penggunaan medis
OBT392,Ibuex 20mg,Antidepresan,430,15706,2025-12-23,Obat antidepresan untuk penggunaan medis
OBT393,Atorat 20mg,Analgesik,420,8610,2025-03-25,Obat analgesik untuk penggunaan medis
OBT394,Metex 250mg,Antidepresan,192,48152,2025-03-29,Obat antidepresan untuk penggunaan medis
OBT395,Captex 500mg,Kardiovaskular,321,91577,2026-04-02,Obat kardiovaskular untuk penggunaan medis
OBT396,Dexaen 50mg,Antihistamin,61,64620,2026-01-20,Obat antihistamin untuk penggunaan medis
OBT397,Cefiat 500mg,Antibiotik,200,67533,2025-05-21,Obat antibiotik untuk penggunaan medis
OBT398,Dexaax 100mg,Antihistamin,58,93050,2026-12-16,Obat antihistamin untuk penggunaan medis
OBT399,Ibuin 10mg,Mineral,204,36126,2025-03-03,Obat mineral untuk penggunaan medis
OBT400,Cefien 25mg,Mineral,134,38361,2025-03-29,Obat mineral untuk penggunaan medis
OBT401,Dicloin 5mg,Kortikosteroid,499,54706,2026-03-09,Obat kortikosteroid untuk penggunaan medis
OBT402,Omepan 250mg,Antibiotik,232,80645,2026-06-16,Obat antibiotik untuk penggunaan medis
OBT403,Omepat 100mg,Kortikosteroid,343,66359,2025-08-01,Obat kortikosteroid untuk penggunaan medis
OBT404,Dicloax 100mg,Antidiabetes,318,46765,2025-10-26,Obat antidiabetes untuk penggunaan medis
OBT405,Omepox 25mg,Antibiotik,232,67228,2026-12-01,Obat antibiotik untuk penggunaan medis
OBT406,Amoxan 250mg,Antasida,113,14879,2026-11-04,Obat antasida untuk penggunaan medis
OBT407,Dexaox 5mg,Antidepresan,54,74703,2026-02-02,Obat antidepresan untuk penggunaan medis
OBT408,Amloat 100mg,Kardiovaskular,255,76206,2026-11-08,Obat kardiovaskular untuk penggunaan medis
OBT409,Dicloox 500mg,Vitamin,417,77890,2025-08-20,Obat vitamin untuk penggunaan medis
OBT410,Cefiat 20mg,Antibiotik,404,7173,2025-05-26,Obat antibiotik untuk penggunaan medis
OBT411,Amoxin 5mg,Antidepresan,287,47262,2025-01-12,Obat antidepresan untuk penggunaan medis
OBT412,Dicloax 100mg,Antidepresan,287,94190,2025-03-06,Obat antidepresan untuk penggunaan medis
OBT413,Omepin 50mg,Kortikosteroid,309,36609,2025-12-04,Obat kortikosteroid untuk penggunaan medis
OBT414,Cefiex 20mg,Antibiotik,345,75052,2026-10-13,Obat antibiotik untuk penggunaan medis
OBT415,Siman 20mg,Psikotropika,326,97926,2025-03-01,Obat psikotropika untuk penggunaan medis
OBT416,Paraat 5mg,Kardiovaskular,70,12256,2025-10-30,Obat kardiovaskular untuk penggunaan medis
OBT417,Raniten 25mg,Antidepresan,261,48705,2026-02-05,Obat antidepresan untuk penggunaan medis
OBT418,Captox 100mg,Antikonvulsan,140,79607,2025-02-10,Obat antikonvulsan untuk penggunaan medis
OBT419,Amloex 10mg,Psikotropika,384,77707,2025-04-26,Obat psikotropika untuk penggunaan medis
OBT420,Omepin 100mg,Antikonvulsan,364,40032,2025-03-18,Obat antikonvulsan untuk penggunaan medis
OBT421,Dicloox 5mg,Antidiabetes,397,22021,2026-01-02,Obat antidiabetes untuk penggunaan medis
OBT422,Amoxan 5mg,Mineral,286,47708,2026-11-01,Obat mineral untuk penggunaan medis
OBT423,Simox 25mg,Kortikosteroid,301,80725,2025-08-05,Obat kortikosteroid untuk penggunaan medis
OBT424,Siman 50mg,Kardiovaskular,308,17003,2025-04-25,Obat kardiovaskular untuk penggunaan medis
OBT425,Ibuen 10mg,Antihistamin,274,68278,2026-09-04,Obat antihistamin untuk penggunaan medis
OBT426,Dicloil 1000mg,Antidiabetes,247,88468,2026-12-09,Obat antidiabetes untuk penggunaan medis
OBT427,Omepol 25mg,Antikonvulsan,224,49271,2026-08-26,Obat antikonvulsan untuk penggunaan medis
OBT428,Cefiat 50mg,Antidiabetes,296,98524,2025-11-30,Obat antidiabetes untuk penggunaan medis
OBT429,Losen 100mg,Antidiabetes,295,16988,2025-01-12,Obat antidiabetes untuk penggunaan medis
OBT430,Ranitex 25mg,Analgesik,263,94571,2025-01-05,Obat analgesik untuk penggunaan medis
OBT431,Amoxox 25mg,Kortikosteroid,132,7251,2026-06-25,Obat kortikosteroid untuk penggunaan medis
OBT432,Cefien 250mg,Antikonvulsan,309,32953,2025-12-27,Obat antikonvulsan untuk penggunaan medis
OBT433,Dicloum 1000mg,Antibiotik,216,48478,2026-10-10,Obat antibiotik untuk penggunaan medis
OBT434,Omepan 20mg,Analgesik,278,26008,2025-09-18,Obat analgesik untuk penggunaan medis
OBT435,Ibuil 20mg,Analgesik,298,12223,2025-07-06,Obat analgesik untuk penggunaan medis
OBT436,Atorat 50mg,Kortikosteroid,401,79722,2025-11-04,Obat kortikosteroid untuk penggunaan medis
OBT437,Amoxax 250mg,Mineral,478,36960,2026-10-31,Obat mineral untuk penggunaan medis
OBT438,Atorat 20mg,Antibiotik,340,5225,2025-10-26,Obat antibiotik untuk penggunaan medis
OBT439,Simen 25mg,Mineral,287,95948,2026-02-02,Obat mineral untuk penggunaan medis
OBT440,Captex 250mg,Mineral,466,21155,2026-01-03,Obat mineral untuk penggunaan medis
OBT441,Ranitum 5mg,Mineral,291,59135,2025-06-01,Obat mineral untuk penggunaan medis
OBT442,Ibuex 25mg,Antibiotik,231,20387,2025-02-23,Obat antibiotik untuk penggunaan medis
OBT443,Ibuen 20mg,Antibiotik,488,44119,2026-01-31,Obat antibiotik untuk penggunaan medis
OBT444,Omepan 50mg,Mineral,494,17069,2026-10-12,Obat mineral untuk penggunaan medis
OBT445,Ibuat 25mg,Antikonvulsan,121,88136,2026-06-22,Obat antikonvulsan untuk penggunaan medis
OBT446,Ranitil 1000mg,Antidepresan,416,25952,2025-02-28,Obat antidepresan untuk penggunaan medis
OBT447,Dexail 250mg,Antikonvulsan,381,31820,2026-03-15,Obat antikonvulsan untuk penggunaan medis
OBT448,Paraat 50mg,Antidepresan,106,80221,2026-09-28,Obat antidepresan untuk penggunaan medis
OBT449,Amloax 50mg,Analgesik,350,56414,2026-09-02,Obat analgesik untuk penggunaan medis
OBT450,Amoxin 20mg,Kortikosteroid,328,58818,2025-09-01,Obat kortikosteroid untuk penggunaan medis
OBT451,Amloan 25mg,Antibiotik,272,16978,2026-03-17,Obat antibiotik untuk penggunaan medis
OBT452,Atorat 1000mg,Vitamin,481,58028,2026-04-19,Obat vitamin untuk penggunaan medis
OBT453,Dexaax 25mg,Vitamin,50,35359,2025-09-05,Obat vitamin untuk penggunaan medis
OBT454,Amoxat 500mg,Antihistamin,83,24443,2025-03-14,Obat antihistamin untuk penggunaan medis
OBT455,Atorum 5mg,Antibiotik,390,35812,2025-09-20,Obat antibiotik untuk penggunaan medis
OBT456,Dexaex 50mg,Antihistamin,271,99001,2025-10-07,Obat antihistamin untuk penggunaan medis
OBT457,Dexain 1000mg,Kardiovaskular,361,76938,2026-08-21,Obat kardiovaskular untuk penggunaan medis
OBT458,Amoxen 100mg,Antasida,71,58971,2025-03-22,Obat antasida untuk penggunaan medis
OBT459,Ranitax 500mg,Analgesik,312,46357,2026-05-27,Obat analgesik untuk penggunaan medis
OBT460,Ranitin 500mg,Antidepresan,402,97301,2025-07-13,Obat antidepresan untuk penggunaan medis
OBT461,Metil 1000mg,Antasida,420,28677,2025-06-10,Obat antasida untuk penggunaan medis
OBT462,Ibuin 5mg,Kardiovaskular,340,80981,2025-01-11,Obat kardiovaskular untuk penggunaan medis
OBT463,Dexaol 500mg,Antidiabetes,133,37198,2025-06-09,Obat antidiabetes untuk penggunaan medis
OBT464,Metex 1000mg,Antibiotik,144,72140,2025-12-23,Obat antibiotik untuk penggunaan medis
OBT465,Simum 10mg,Vitamin,304,87799,2026-05-30,Obat vitamin untuk penggunaan medis
OBT466,Amoxum 25mg,Antidiabetes,76,43127,2026-04-20,Obat antidiabetes untuk penggunaan medis
OBT467,Atorum 1000mg,Antikonvulsan,177,81924,2025-06-13,Obat antikonvulsan untuk penggunaan medis
OBT468,Amoxax 100mg,Kardiovaskular,321,56899,2026-05-29,Obat kardiovaskular untuk penggunaan medis
OBT469,Dicloan 5mg,Kortikosteroid,79,16145,2026-04-02,Obat kortikosteroid untuk penggunaan medis
OBT470,Ranitol 10mg,Antidiabetes,470,15209,2026-11-15,Obat antidiabetes untuk penggunaan medis
OBT471,Losan 20mg,Antidiabetes,368,31308,2025-10-25,Obat antidiabetes untuk penggunaan medis
OBT472,Omepil 50mg,Antidepresan,330,61659,2026-06-05,Obat antidepresan untuk penggunaan medis
OBT473,Capten 5mg,Psikotropika,273,26769,2026-03-31,Obat psikotropika untuk penggunaan medis
OBT474,Dicloat 20mg,Kortikosteroid,417,29703,2025-04-30,Obat kortikosteroid untuk penggunaan medis
OBT475,Amloox 500mg,Kortikosteroid,64,80437,2026-08-15,Obat kortikosteroid untuk penggunaan medis
OBT476,Ranitin 20mg,Psikotropika,158,91684,2026-11-21,Obat psikotropika untuk penggunaan medis
OBT477,Dexaex 500mg,Mineral,393,71658,2025-08-27,Obat mineral untuk penggunaan medis
OBT478,Ranitol 1000mg,Antidepresan,481,16562,2026-12-03,Obat antidepresan untuk penggunaan medis
OBT479,Ibuil 10mg,Antidiabetes,341,48275,2026-08-13,Obat antidiabetes untuk penggunaan medis
OBT480,Cefium 250mg,Psikotropika,399,46806,2026-06-10,Obat psikotropika untuk penggunaan medis
OBT481,Dicloat 500mg,Antidepresan,431,16337,2025-12-24,Obat antidepresan untuk penggunaan medis
OBT482,Omepen 500mg,Vitamin,476,8659,2026-03-02,Obat vitamin untuk penggunaan medis
OBT483,Diclool 100mg,Antidepresan,146,93660,2025-03-15,Obat antidepresan untuk penggunaan medis
OBT484,Amloil 20mg,Antidepresan,367,84541,2025-05-28,Obat antidepresan untuk penggunaan medis
OBT485,Ibuol 5mg,Mineral,353,47793,2026-06-28,Obat mineral untuk penggunaan medis
OBT486,Omepen 100mg,Antasida,89,21884,2026-12-02,Obat antasida untuk penggunaan medis
OBT487,Ranitum 5mg,Antidepresan,268,16822,2026-10-17,Obat antidepresan untuk penggunaan medis
OBT488,Cefiin 1000mg,Antibiotik,287,98476,2026-05-28,Obat antibiotik untuk penggunaan medis
OBT489,Losox 250mg,Mineral,448,41725,2025-09-10,Obat mineral untuk penggunaan medis
OBT490,Ibuat 25mg,Antasida,462,69840,2026-01-22,Obat antasida untuk penggunaan medis
OBT491,Meten 20mg,Antikonvulsan,219,47470,2025-05-26,Obat antikonvulsan untuk penggunaan medis
OBT492,Captox 5mg,Analgesik,480,96880,2026-03-28,Obat analgesik untuk penggunaan medis
OBT493,Atorax 50mg,Antasida,330,44784,2025-07-19,Obat antasida untuk penggunaan medis
OBT494,Amoxin 1000mg,Analgesik,114,13466,2026-03-13,Obat analgesik untuk penggunaan medis
OBT495,Ibuil 50mg,Kortikosteroid,396,54206,2026-09-23,Obat kortikosteroid untuk penggunaan medis
OBT496,Paraan 1000mg,Antikonvulsan,219,30776,2025-02-23,Obat antikonvulsan untuk penggunaan medis
OBT497,Omepan 5mg,Psikotropika,405,34887,2026-06-11,Obat psikotropika untuk penggunaan medis
OBT498,Amloan 500mg,Vitamin,224,59440,2026-05-29,Obat vitamin untuk penggunaan medis
